;palabra;segmentacion
0;dullingekefun;['dulli', 'nge', 'ke', 'fu', 'n']
1;mülekefun;['müle', 'ke', 'fu', 'n']
2;pingekefun;['pi', 'nge', 'ke', 'fu', 'n']
3;pingerkefun;['pi', 'nge', 'rke', 'fu', 'n']
4;dungukefun;['dungu', 'ke', 'fu', 'n']
5;nentuken;['nentu', 'ke', 'n']
6;dungun;['dungu', 'n']
7;pikefun;['pi', 'ke', 'fu', 'n']
8;witran;['witra', 'n']
9;puramkefun;['pura', 'm', 'ke', 'fu', 'n']
10;wirifengen;['wiri', 'fe', 'nge', 'n']
11;pingen;['pi', 'nge', 'n']
12;feyentukefun;['feyentu', 'ke', 'fu', 'n']
13;dewmangekefun;['dewma', 'nge', 'ke', 'fu', 'n']
14;mülen;['müle', 'n']
15;chuman;['chum', 'a', 'n']
16;küpan;['küpa', 'n']
17;amukefun;['amu', 'ke', 'fu', 'n']
18;weupimekefun;['weupi', 'meke', 'fu', 'n']
19;dungumekerkefun;['dungu', 'meke', 'rke', 'fu', 'n']
20;awkiñawkiñngekefun;['awkiñ', 'awkiñ', 'nge', 'ke', 'fu', 'n']
21;mütrümpen;['mütrüm', 'pe', 'n']
22;pin;['pi', 'n']
23;portan;['porta', 'n']
24;faman;['fam', 'a', 'n']
25;feypingekefun;['fey', 'pi', 'nge', 'ke', 'fu', 'n']
26;küllun;['kül', 'lu', 'n']
27;trokiwken;['troki', 'w', 'ke', 'n']
28;yewekefun;['yewe', 'ke', 'fu', 'n']
29;pekankan;['pekanka', 'n']
30;reyipen;['reyi', 'pe', 'n']
31;entun;['entu', 'n']
32;chumngeafun;['chum', 'nge', 'a', 'fu', 'n']
33;tukuyawlngen;['tuku', 'yaw', 'l', 'nge', 'n']
34;eluyengen;['elu', 'ye', 'nge', 'n']
35;nien;['nie', 'n']
36;larumen;['la', 'rume', 'n']
37;ellayan;['el', 'la', 'ya', 'n']
38;feypikefun;['fey', 'pi', 'ke', 'fu', 'n']
39;awkan;['awka', 'n']
40;kewakefun;['kewa', 'ke', 'fu', 'n']
41;chemkefun;['chem', 'ke', 'fu', 'n']
42;tripakefun;['tripa', 'ke', 'fu', 'n']
43;pingeken;['pi', 'nge', 'ke', 'n']
44;piken;['pi', 'ke', 'n']
45;feypien;['fey', 'pi', 'e', 'n']
46;kimelen;['kimel', 'e', 'n']
47;amun;['amu', 'n']
48;akuan;['aku', 'a', 'n']
49;feypiafuen;['fey', 'pi', 'a', 'fu', 'e', 'n']
50;chumlekefun;['chum', 'le', 'ke', 'fu', 'n']
51;pentukun;['pentuku', 'n']
52;dunguan;['dungu', 'a', 'n']
53;kimnien;['kim', 'nie', 'n']
54;dewmangeken;['dewma', 'nge', 'ke', 'n']
55;amuken;['amu', 'ke', 'n']
56;lantun;['lantu', 'n']
57;dungumeafun;['dungu', 'me', 'a', 'fu', 'n']
58;pepaen;['pe', 'pa', 'e', 'n']
59;amulen;['amu', 'le', 'n']
60;ngoymantukuan;['ngoyma', 'n', 'tuku', 'a', 'n']
61;feleken;['fele', 'ke', 'n']
62;yafuluken;['yafu', 'lu', 'ke', 'n']
63;kimniekan;['kim', 'nie', 'ka', 'n']
64;rupan;['rupa', 'n']
65;feypin;['fey', 'pi', 'n']
66;femken;['fem', 'ke', 'n']
67;wenüywenngen;['wenüy', 'wen', 'nge', 'n']
68;amuafun;['amu', 'a', 'fu', 'n']
69;müleafun;['müle', 'a', 'fu', 'n']
70;kewan;['kewa', 'n']
71;femürken;['fem', 'ürke', 'n']
72;konürken;['kon', 'ürke', 'n']
73;pikeen;['pi', 'ke', 'e', 'n']
74;amukafun;['amu', 'ka', 'fu', 'n']
75;pentukuan;['pentuku', 'a', 'n']
76;küdawan;['küdaw', 'a', 'n']
77;werküken;['werkü', 'ke', 'n']
78;niean;['nie', 'a', 'n']
79;kellumuan;['kellu', 'mu', 'a', 'n']
80;elkünuken;['el', 'künu', 'ke', 'n']
81;müleken;['müle', 'ke', 'n']
82;kawiñtun;['kawiñ', 'tu', 'n']
83;kolletuan;['kolletu', 'a', 'n']
84;kellun;['kellu', 'n']
85;kellukewfun;['kellu', 'ke', 'w', 'fu', 'n']
86;akun;['aku', 'n']
87;wingkadungun;['wingkadungu', 'n']
88;ketran;['ketra', 'n']
89;nentuan;['nentu', 'a', 'n']
90;fentepun;['fente', 'pu', 'n']
91;kisulen;['kisu', 'le', 'n']
92;kümelkalekefun;['küme', 'l', 'ka', 'le', 'ke', 'fu', 'n']
93;feyentuken;['feyentu', 'ke', 'n']
94;mapuchengen;['mapuche', 'nge', 'n']
95;ngünewkülefun;['ngüne', 'w', 'küle', 'fu', 'n']
96;pichin;['pichi', 'n']
97;niekefun;['nie', 'ke', 'fu', 'n']
98;langümngeken;['langüm', 'nge', 'ke', 'n']
99;nietun;['nie', 'tu', 'n']
100;pichikan;['pichi', 'ka', 'n']
101;kimmapudungun;['kim', 'mapudungu', 'n']
102;entukefun;['entu', 'ke', 'fu', 'n']
103;yenien;['ye', 'nie', 'n']
104;puwken;['puw', 'ke', 'n']
105;felen;['fele', 'n']
106;küpalngeken;['küpal', 'nge', 'ke', 'n']
107;feypiken;['fey', 'pi', 'ke', 'n']
108;mapudungufun;['mapudungu', 'fu', 'n']
