;Palabra;Glosa
0;yengelay;ye-nge-la-y
1;küpatrepelen;küpa-trepe-le-n
2;weda;weda
3;elkunukefuy;el-kunu-ke-fu-y
4;dewmayafiymi;dewma-ya-fi-ymi
5;materia;materia
6;nungey;nu-nge-y
7;piwkekechiley;piwke-kechi-le-y
8;ngoymatukey;ngoyma-tu-ke-y
9;pepilkalu;pepi-l-ka-lu
10;kimmefiñ;kim-me-fi-ñ
11;entufemaymün;entu-fem-a-ymün
12;kimülkantulu;kim-ül-kantu-lu
13;namuntuyawkefun;namun-tu-yaw-ke-fu-n
14;femnolu;fem-no-lu
15;filu;filu
16;mülewelay;müle-we-la-y
17;nentuafun;nentu-a-fu-n
18;rume;rume
19;tripakeyngün;tripa-ke-y-ngün
20;wedameyñmew;weda-m-e-yñ-mew
21;nentuniean;nentu-nie-a-n
22;llamarumey;llama-rume-y
23;pakarwa;pakarwa
24;rupalayay;rupa-la-ya-y
25;tukukafuyu;tuku-ka-fu-yu
26;duamniefin;duam-nie-fi-n
27;yüllüy;yüllüy
28;katrungeael;katru-nge-a-el
29;pilaymi;pi-la-ymi
30;dirigentekunungen;dirigente-kunu-nge-n
31;chumafuiñ;chum-a-fu-iñ
32;rangi;rangi
33;puwyelu;puw-ye-lu
34;noliñ;no-l-iñ
35;chafolu;chaf-o-lu
36;fütawentru;füta-wentru
37;arca;arca
38;chevrolet;chevrolet
39;rele;rele
40;pieza;pieza
41;aflay;af-la-y
42;lapiz;lapiz
43;mapudunguntufule;mapudungun-tu-fu-l-e
44;apoya;apo-ya-
45;oradores;oradores
46;kutrankeeiñmew;kutran-ke-e-iñ-mew
47;niekefuyiñ;nie-ke-fu-y-iñ
48;kullingey;kulli-nge-y
49;apon;apo-n
50;dunguliiñ;dungu-li-iñ
51;ayiwkületun;ayi-w-küle-tu-n
52;catolico;catolico
53;dungukelafun;dungu-ke-la-fu-n
54;küpakimnien;küpa-kim-nie-n
55;nienole;nie-no-l-e
56;catolica;catolica
57;nütramkayafiel;nütramka-ya-fi-el
58;trawülu;trawü-lu
59;walloñmawküleiñ;wallo-ñma-w-küle-iñ
60;c;c
61;piley;pi-le-y
62;farakotuy;farako-tu-y
